序号,卡口位置,车型,卡点编号,卡点名称,流向,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,鹿城区,大型汽车,103300037300,330国道38KM+378M,由北向南,60,74,44,30,25,44,26,17,13,14,22,22,25,26,18,20,13,8,21,27,52,74,56,61
1,鹿城区,大型汽车,103300037300,330国道38KM+378M,由南向北,55,61,55,86,99,95,45,19,10,12,17,11,12,12,14,11,9,6,10,16,41,96,67,79
1,鹿城区,大型汽车,330300000783,YD温州大道温瑞大道路口(变道抓拍),由南向北,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0
1,鹿城区,大型汽车,330302000001,YD府前街广场路路口,由东向西,0,0,0,0,0,0,11,13,12,12,8,13,10,9,10,14,9,5,13,9,2,0,0,0
1,鹿城区,大型汽车,330302000001,YD府前街广场路路口,由南向北,0,0,0,1,2,2,25,40,45,48,47,42,44,34,44,46,42,32,43,35,22,7,1,0
1,鹿城区,大型汽车,330302000001,YD府前街广场路路口,由西向东,0,0,0,0,1,1,23,34,39,37,33,35,29,29,34,35,31,27,28,19,0,0,0,0
1,鹿城区,大型汽车,330302000002,鹿城路勤奋路口,由东向西,1,0,0,0,4,12,67,110,143,134,124,120,104,102,98,125,104,84,128,122,73,53,44,11
1,鹿城区,大型汽车,330302000002,鹿城路勤奋路口,由北向南,0,0,0,3,4,11,27,28,25,22,27,19,21,21,21,24,24,20,31,22,20,18,4,1
1,鹿城区,大型汽车,330302000002,鹿城路勤奋路口,由南向北,1,0,1,0,0,6,25,40,34,33,33,31,33,36,33,31,34,28,37,33,28,22,12,6
1,鹿城区,大型汽车,330302000002,鹿城路勤奋路口,由西向东,3,3,0,1,16,85,182,164,162,165,149,138,165,150,142,151,148,120,112,119,84,71,54,8
1,鹿城区,大型汽车,330302000003,YD县前头华盖山隧道口,由东向西,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000004,鹿城路广化桥路口,由东向西,2,0,0,3,4,16,69,92,99,109,89,89,90,87,87,91,96,66,90,82,54,42,35,16
1,鹿城区,大型汽车,330302000004,鹿城路广化桥路口,由北向南,4,4,1,4,10,26,42,22,7,5,13,3,13,16,10,12,8,13,13,19,16,7,4,9
1,鹿城区,大型汽车,330302000004,鹿城路广化桥路口,由南向北,1,3,0,2,7,2,21,17,13,9,13,19,4,17,11,15,6,20,14,7,8,9,8,7
1,鹿城区,大型汽车,330302000004,鹿城路广化桥路口,由西向东,6,0,1,2,9,31,99,107,101,96,87,86,98,93,90,88,90,85,76,57,35,31,29,10
1,鹿城区,大型汽车,330302000006,人民路杏花路口,由东向北,0,0,0,0,1,2,16,23,27,23,29,26,31,22,24,28,10,10,23,13,17,14,9,3
1,鹿城区,大型汽车,330302000006,人民路杏花路口,由东向西,2,3,0,0,1,2,25,45,59,53,47,43,40,43,45,47,47,38,54,42,31,28,17,10
1,鹿城区,大型汽车,330302000006,人民路杏花路口,由北向南,1,1,1,2,6,43,93,101,96,88,79,85,88,80,78,93,84,75,68,50,36,21,19,5
1,鹿城区,大型汽车,330302000006,人民路杏花路口,由南向北,1,1,1,3,0,4,34,48,44,55,45,52,43,49,45,45,43,46,52,38,31,18,8,0
1,鹿城区,大型汽车,330302000006,人民路杏花路口,由西向东,0,0,0,0,0,11,44,55,55,42,34,33,37,33,41,48,37,32,41,36,27,16,8,2
1,鹿城区,大型汽车,330302000007,YD吴桥路国税大厦路段,由北向南,2,4,3,3,3,11,28,42,43,34,38,34,34,38,43,36,43,32,33,28,21,13,5,3
1,鹿城区,大型汽车,330302000008,YD吴桥路交警一、二大队交界处,由东向西,0,0,1,0,0,9,57,63,70,70,63,57,60,69,66,57,61,62,51,1,1,2,1,0
1,鹿城区,大型汽车,330302000012,YD双南线翠微大道路口,由东向西,29,24,19,19,15,29,73,81,74,82,83,76,82,77,78,78,71,63,86,88,73,56,64,59
1,鹿城区,大型汽车,330302000012,YD双南线翠微大道路口,由北向南,71,47,56,40,72,90,89,62,69,53,81,76,85,88,84,68,63,55,79,62,81,81,66,62
1,鹿城区,大型汽车,330302000012,YD双南线翠微大道路口,由南向北,105,92,55,46,58,84,110,94,104,126,128,113,177,157,156,129,112,107,156,156,134,122,95,83
1,鹿城区,大型汽车,330302000012,YD双南线翠微大道路口,由西向东,50,39,24,30,44,53,117,100,91,83,70,70,75,77,78,99,110,75,68,56,59,48,63,27
1,鹿城区,大型汽车,330302000013,YD府前街仓桥街段,由北向南,0,0,0,0,1,3,6,9,5,1,4,5,7,5,4,5,5,5,10,8,6,2,2,0
1,鹿城区,大型汽车,330302000013,YD府前街仓桥街段,由南向北,0,0,0,0,1,1,9,13,13,13,14,11,11,12,10,14,11,10,11,12,7,3,2,0
1,鹿城区,大型汽车,330302000014,学院路金桥路口,由东向西,4,3,1,2,0,5,46,58,59,58,47,52,48,51,53,54,52,50,49,35,22,14,7,8
1,鹿城区,大型汽车,330302000014,学院路金桥路口,由南向北,0,0,0,0,0,1,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0
1,鹿城区,大型汽车,330302000014,学院路金桥路口,由西向东,5,1,2,2,0,6,50,65,65,61,60,59,50,54,48,56,56,48,50,46,31,17,16,18
1,鹿城区,大型汽车,330302000015,学院路惠民路口,由东向西,6,1,2,3,1,9,55,61,60,66,55,55,52,59,54,63,63,56,53,47,29,23,16,17
1,鹿城区,大型汽车,330302000015,学院路惠民路口,由北向南,3,1,0,2,2,17,42,51,41,49,38,33,40,38,40,36,42,33,30,26,19,14,16,9
1,鹿城区,大型汽车,330302000015,学院路惠民路口,由南向北,0,1,0,0,0,3,27,32,36,34,44,36,24,29,30,34,27,32,29,13,12,6,11,5
1,鹿城区,大型汽车,330302000015,学院路惠民路口,由西向东,6,1,1,2,0,6,49,59,60,63,60,55,53,52,47,53,54,42,52,43,25,17,14,15
1,鹿城区,大型汽车,330302000017,望江东路环城东路口,由东向西,11,22,14,14,15,25,34,21,18,22,32,24,24,33,25,29,33,23,16,19,27,7,14,22
1,鹿城区,大型汽车,330302000017,望江东路环城东路口,由南向北,1,0,0,0,0,6,24,33,37,46,39,34,35,33,35,35,40,30,30,30,22,17,7,2
1,鹿城区,大型汽车,330302000017,望江东路环城东路口,由西向东,20,8,12,6,19,22,59,69,76,78,78,77,68,68,69,82,57,42,60,63,39,23,49,18
1,鹿城区,大型汽车,330302000018,汤家桥南路雁荡西路路口,由东向西,2,0,0,0,0,3,36,16,19,26,29,25,29,24,25,29,20,18,13,19,13,10,2,1
1,鹿城区,大型汽车,330302000018,汤家桥南路雁荡西路路口,由北向南,6,2,1,0,8,10,33,45,19,32,29,25,22,28,37,26,13,17,23,26,18,10,16,13
1,鹿城区,大型汽车,330302000018,汤家桥南路雁荡西路路口,由南向北,9,2,2,2,6,10,13,14,5,12,6,19,10,8,16,10,16,12,11,13,11,8,11,12
1,鹿城区,大型汽车,330302000021,新城大道宏源路口,由东向西,8,2,1,5,9,26,72,80,88,98,94,87,73,85,88,91,101,90,82,52,39,36,15,14
1,鹿城区,大型汽车,330302000021,新城大道宏源路口,由北向南,1,0,0,0,0,0,14,17,18,20,19,14,14,14,17,18,15,18,13,10,6,0,0,1
1,鹿城区,大型汽车,330302000021,新城大道宏源路口,由西向东,7,2,4,12,4,7,75,118,116,115,103,95,98,95,98,99,106,92,88,71,50,34,30,13
1,鹿城区,大型汽车,330302000022,市府路府东路口,由东向西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,鹿城区,大型汽车,330302000022,市府路府东路口,由南向北,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
